,累计收益率,年化收益率,年化波动率,最大回撤,夏普比率,Calmar比率
BuyHold,2.8121669626998296,0.23478635377193613,0.48769957417750676,-0.6094532345283408,0.6752207509890326,0.3852409675922691
MA20_MA60,0.038361869442886665,0.005950325669969336,0.37010450112562254,-0.6393691851827439,0.20017540882732995,0.009306556849887316
Momentum_20,2.4492556382932307,0.21547131291541688,0.37901863548202014,-0.4037224707531849,0.7026864879867311,0.5337114689539907
Breakout,0.5937298357849916,0.0762180047972949,0.33229354047928134,-0.48617467268906644,0.3860368697974042,0.1567708255465628
ZScoreMeanReversion,-0.24282298397861135,-0.04289034975153949,0.26015047154452714,-0.4555624734997574,-0.03785899274845058,-0.09414811852706811
BollingerBands,-0.003976392361039083,-0.0006277256281608246,0.2157749642167668,-0.34745189253717723,0.10489866958303547,-0.0018066547963720132
PairsTrading,-0.3423051384453073,-0.06390284298238025,0.16749980216890623,-0.48717536382028315,-0.30983873212066987,-0.13117010367944987
FactorInvesting,0.841652172584189,0.10069256638258572,0.2868114391938891,-0.6014561700857461,0.4775536233867575,0.16741463699379885
FactorEqualWeightBenchmark,2.680388800231855,0.22717356903696628,0.2516069541180262,-0.3957347348998429,0.9395535922601159,0.5740551662579277
