,累计收益率,年化收益率,年化波动率,最大回撤,夏普比率,Calmar比率,持仓比例,仓位切换次数
BuyHold,0.8963993814888536,0.1269864346716525,0.4549459995409146,-0.585635359116022,0.4888522416841174,0.2168353271280104,1.0,0.0
Momentum_5,0.8698875418368801,0.12402637856291121,0.3288800724873461,-0.5389733069497897,0.5178552548798653,0.2301159945467678,0.48592592592592593,269.0
Momentum_10,0.6096541287120969,0.09299628486976697,0.33255327454754996,-0.5809536070378409,0.4314459144273328,0.16007523448203595,0.4822222222222222,191.0
Momentum_20,0.7590620901286296,0.11127043133934533,0.3512235544061264,-0.39016136665421686,0.47439082397323296,0.28519079757571053,0.5059259259259259,108.0
Momentum_40,-0.012629718909178855,-0.0023715039477987254,0.3525799439934765,-0.5286253187194629,0.16839647565397856,-0.004486171705781014,0.4911111111111111,100.0
Momentum_60,0.215143633926955,0.03707189586235837,0.370430130427214,-0.4821502893815732,0.28228826399012047,0.07688867284495128,0.5081481481481481,77.0
Momentum_120,0.604123387634655,0.09229375367972192,0.3649513428932971,-0.4279819954988746,0.4231780378573913,0.21564868300625653,0.48814814814814816,59.0
Momentum_250,0.14702420667632232,0.025955346079768127,0.3848658819474718,-0.5660132817559373,0.2579610401874521,0.04585642584083383,0.5911111111111111,37.0
